id,price_min,price_max,multiplier,created_at,updated_at
306,15300,15350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
307,15350,15400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
308,15400,15450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
309,15450,15500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
310,15500,15550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
311,15550,15600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
312,15600,15650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
313,15650,15700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
314,15700,15750,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
315,15750,15800,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
316,15800,15850,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
317,15850,15900,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
318,15900,15950,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
319,15950,16000,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
320,16000,16050,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
321,16050,16100,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
322,16100,16150,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
323,16150,16200,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
324,16200,16250,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
325,16250,16300,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
326,16300,16350,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
327,16350,16400,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
328,16400,16450,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
329,16450,16500,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
330,16500,16550,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
331,16550,16600,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
332,16600,16650,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
333,16650,16700,26000,2025-12-12 12:01:41,2025-12-12 12:01:41
